DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/12/19 17:17:00,AQUA_M-T,Brasil,CEARÁ,PENAFORTE,Caatinga,9,4.73,0.02,-7.84455,-38.97884,132.3
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,IGUATU,Caatinga,37,12.02,0.0,-6.24839,-39.34273,26.0
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,APUIARÉS,Caatinga,0,0.3,0.21,-3.87208,-39.43592,15.0
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,ITAPIPOCA,Caatinga,0,0.0,0.29,-3.41243,-39.59078,72.4
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,ITAPIPOCA,Caatinga,0,0.0,0.46,-3.40844,-39.59852,45.4
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,ITAPIPOCA,Caatinga,0,0.0,0.27,-3.4058,-39.58082,21.3
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,ITAPIPOCA,Caatinga,0,0.0,0.83,-3.35811,-39.5147,24.1
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,ITAPIPOCA,Caatinga,0,0.0,0.17,-3.35531,-39.66048,32.0
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,ITAPIPOCA,Caatinga,0,0.0,0.84,-3.35263,-39.64309,13.3
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,ITAPIPOCA,Caatinga,0,0.1,0.48,-3.25487,-39.51693,39.5
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,AMONTADA,Caatinga,0,0.0,0.38,-3.16386,-39.77281,22.9
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,BELA CRUZ,Caatinga,0,4.95,0.24,-3.06314,-40.28041,39.3
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,CAMOCIM,Caatinga,0,1.52,0.2,-3.05294,-41.07516,21.9
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,-999,1.3,0.33,-3.04452,-40.85366,23.1
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,-999,1.3,0.32,-3.0438,-40.86055,15.8
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,-999,1.3,0.32,-3.04168,-40.84608,17.0
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,ITAREMA,Caatinga,-999,0.3,0.5,-3.02354,-39.89446,25.3
2023/12/21 17:02:00,AQUA_M-T,Brasil,CEARÁ,CAMOCIM,Caatinga,-999,1.03,0.06,-2.87795,-40.58978,18.5
2023/12/22 16:05:00,AQUA_M-T,Brasil,CEARÁ,ARACOIABA,Caatinga,0,0.0,0.01,-4.50482,-38.80869,40.3
2023/12/22 16:05:00,AQUA_M-T,Brasil,CEARÁ,MARANGUAPE,Caatinga,2,0.0,0.7,-3.95808,-38.91966,93.2
2023/12/22 16:05:00,AQUA_M-T,Brasil,CEARÁ,MARANGUAPE,Caatinga,2,0.0,0.71,-3.95643,-38.927,55.9
2023/12/22 16:05:00,AQUA_M-T,Brasil,CEARÁ,CAUCAIA,Caatinga,2,0.0,0.7,-3.95275,-38.90104,41.1
2023/12/22 16:05:00,AQUA_M-T,Brasil,CEARÁ,CAUCAIA,Caatinga,2,0.0,0.52,-3.85563,-38.73153,38.3
2023/12/22 16:05:00,AQUA_M-T,Brasil,CEARÁ,SOBRAL,Caatinga,0,6.49,0.0,-3.76628,-40.32884,85.9
2023/12/22 16:05:00,AQUA_M-T,Brasil,CEARÁ,SOBRAL,Caatinga,0,7.42,0.0,-3.75846,-40.33699,64.2
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,VIÇOSA DO CEARÁ,Caatinga,0,0.0,0.31,-3.6383,-41.0807,8.9
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,VIÇOSA DO CEARÁ,Caatinga,0,0.0,0.3,-3.63701,-41.07183,18.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,TIANGUÁ,Caatinga,0,0.0,0.06,-3.62257,-40.90987,30.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,TIANGUÁ,Caatinga,0,0.0,0.1,-3.62128,-40.90094,28.5
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.06,-3.6159,-40.8012,12.5
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.05,-3.6146,-40.79224,8.7
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,TIANGUÁ,Caatinga,0,0.0,0.05,-3.61365,-40.9112,53.9
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,TIANGUÁ,Caatinga,0,0.0,0.05,-3.61235,-40.90227,33.5
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,TIANGUÁ,Caatinga,0,0.0,0.04,-3.60343,-40.90358,14.1
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.03,-3.60213,-40.89464,16.2
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.04,-3.60024,-40.69344,41.8
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.04,-3.59893,-40.68443,118.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.04,-3.593,-40.83202,10.9
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.04,-3.5917,-40.82307,314.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.04,-3.59039,-40.81411,49.0
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.02,-3.5602,-40.60722,8.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.02,-3.55888,-40.59819,18.4
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.03,-3.55122,-40.60853,25.3
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.04,-3.5499,-40.59949,33.7
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,SÃO GONÇALO DO AMARANTE,Caatinga,2,1.23,0.52,-3.54784,-39.07302,40.0
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,PARACURU,Caatinga,2,1.21,0.51,-3.54632,-39.06269,41.1
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.01,-3.52714,-40.76581,22.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.01,-3.5195,-40.77612,18.2
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,COREAÚ,Caatinga,0,0.0,0.02,-3.51819,-40.76714,45.1
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,PARACURU,Caatinga,2,0.95,0.8,-3.48959,-39.10939,13.1
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,MORAÚJO,Caatinga,0,0.0,0.12,-3.48717,-40.67973,6.1
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,MASSAPÊ,Caatinga,0,0.0,0.02,-3.47242,-40.51563,16.5
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,MASSAPÊ,Caatinga,0,0.1,0.13,-3.4313,-40.29727,31.7
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,SANTANA DO ACARAÚ,Caatinga,0,0.11,0.14,-3.42995,-40.28804,29.2
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,MORAÚJO,Caatinga,0,0.0,0.14,-3.42,-40.65854,13.0
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,MORAÚJO,Caatinga,0,0.0,0.14,-3.41869,-40.64955,8.2
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,0,0.0,0.86,-3.39652,-41.26143,7.0
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,MORAÚJO,Caatinga,0,0.0,0.21,-3.39177,-40.65347,23.5
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,SENADOR SÁ,Caatinga,0,0.0,0.13,-3.37696,-40.48894,14.0
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,SENADOR SÁ,Caatinga,0,0.0,0.16,-3.37563,-40.47981,24.8
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,VIÇOSA DO CEARÁ,Caatinga,0,0.0,0.22,-3.36843,-41.19312,34.8
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,VIÇOSA DO CEARÁ,Caatinga,0,0.0,0.3,-3.36715,-41.18428,69.5
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,URUOCA,Caatinga,0,0.0,0.06,-3.34429,-40.71304,91.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,0,0.0,0.2,-3.32305,-40.88131,14.4
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,TRAIRI,Caatinga,0,0.5,1.0,-3.29337,-39.35847,9.8
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,TRAIRI,Caatinga,0,0.5,1.0,-3.29189,-39.34842,143.7
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,MORRINHOS,Caatinga,0,0.0,0.8,-3.24421,-40.02312,13.7
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,MORRINHOS,Caatinga,0,0.0,0.64,-3.24284,-40.01369,23.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,TRAIRI,Caatinga,0,0.6,0.44,-3.2367,-39.46447,32.9
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,MARTINÓPOLE,Caatinga,1,0.0,0.22,-3.18615,-40.69594,6.7
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,MARTINÓPOLE,Caatinga,1,0.0,0.21,-3.18483,-40.68691,6.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,2,0.0,0.72,-3.18054,-41.10581,27.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,AMONTADA,Caatinga,0,0.27,0.82,-3.15908,-39.76264,23.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,BELA CRUZ,Caatinga,0,0.3,0.2,-3.13532,-40.34953,32.1
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,BELA CRUZ,Caatinga,0,0.3,0.21,-3.13396,-40.34032,13.3
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,AMONTADA,Caatinga,0,0.52,0.44,-3.12697,-39.73773,18.8
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,BELA CRUZ,Caatinga,0,0.3,0.2,-3.1249,-40.34164,10.9
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,ACARAÚ,Caatinga,0,0.0,0.34,-3.12249,-40.0082,19.0
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,1,0.1,0.23,-3.09935,-40.54843,15.5
